claim_nbr,order_nbr,contract,license,name,addr,city,state,gpo,invoice_date,invoice_nbr,part,ship_qty,uom,sale,rebate
,2310776563,R705T1,RQXM,MIDHUDSON REGIONAL HOSPITAL LUM,241 NORTH RD,POUGHKEEPSIE,NY,MEDASSETS,03/08/2024,2310776563,974,0.4,CS,88.0,0.0
,2310798594,R705T1,R152,UNIVERSITY OF ROCHESTER/STRONG (BUL,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/10/2024,2310798594,648,0.5,CS,77.5,0.0
,2310776563,R705T1,RQXM,MIDHUDSON REGIONAL HOSPITAL LUM,241 NORTH RD,POUGHKEEPSIE,NY,MEDASSETS,03/08/2024,2310776563,946,0.5,CS,80.25,0.0
,2310774950,R705T1,RQXM,MIDHUDSON REGIONAL HOSPITAL LUM,241 NORTH RD,POUGHKEEPSIE,NY,MEDASSETS,03/08/2024,2310774950,974,0.2,CS,44.0,0.0
,2310821407,R705T1,ZNPV,HUTCHINSON CLINIC,2211 N WALDRON ST,HUTCHINSON,KS,MEDASSETS,03/11/2024,2310821407,648,1.0,CS,155.04,0.0
,2310779010,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/10/2024,2310779010,648,0.2,CS,30.4,0.0
,2310787781,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/10/2024,2310787781,646,0.6,CS,75.84,0.0
,2310842967,R705T1,S186,KENT - LUM ON UBOAT (LUM),455 TOLL GATE RD,WARWICK,RI,MEDASSETS,03/11/2024,2310842967,648,0.4,CS,62.04,0.0
,2310925593,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/11/2024,2310925593,648,0.1,CS,15.5,0.0
,2310959013,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER (LUM),7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,03/12/2024,2310959013,974,1.0,CS,215.7,0.0
,2310941773,R705T2,WFAZ,PMR WILDWOOD,2865 N REYNOLDS RD STE 170,TOLEDO,OH,MEDASSETS,03/06/2024,2310941773,957,10.0,CS,1257.0,0.0
,2310904918,R705T1,HDIH,THE UNIVERSITY OF TEXAS SW MEDICAL,6201 HARRY HINES BLVD,DALLAS,TX,MEDASSETS,03/12/2024,2310904918,648,4.0,CS,620.16,0.0
,2310914715,R705T1,X917,COREWELL HEALTH FARMINGTON HILLS HO,28050 GRAND RIVER AVE,FARMINGTON HILLS,MI,MEDASSETS,03/11/2024,2310914715,656,1.0,CS,139.89,0.0
,2310992166,R705T1,S779,HUNTERDON MEDICAL CENTER,2100 WESCOTT DR,FLEMINGTON,NJ,MEDASSETS,03/12/2024,2310992166,974,1.0,CS,220.01,0.0
